date,day_of_week,month,year,temperature,humidity,is_holiday,virus_outbreak,previous_patients,patient_count,patient_count_tomorrow
2022-03-18,4,3,2022,25.7,66.6,0,0,98,194,222
2022-03-19,5,3,2022,22.6,64.1,1,0,161,222,239
2022-03-20,6,3,2022,25.7,53.7,0,0,165,239,193
2022-03-21,0,3,2022,9.1,60.8,0,0,198,193,207
2022-03-22,1,3,2022,23.2,39.6,0,1,180,207,191
2022-03-23,2,3,2022,27.9,63.5,0,0,137,191,192
2022-03-24,3,3,2022,36.8,50.2,0,0,150,192,224
2022-03-25,4,3,2022,20.9,48.4,0,0,185,224,219
2022-03-26,5,3,2022,18.5,67.7,0,0,177,219,292
2022-03-27,6,3,2022,21.0,85.9,0,1,162,292,187
2022-03-28,0,3,2022,32.3,78.8,0,0,165,187,187
2022-03-29,1,3,2022,27.6,41.4,0,0,200,187,196
2022-03-30,2,3,2022,20.8,50.2,0,0,164,196,223
2022-03-31,3,3,2022,29.1,79.1,0,0,177,223,276
2022-04-01,4,4,2022,25.8,50.3,0,0,245,276,210
2022-04-02,5,4,2022,32.7,61.6,1,0,137,210,191
2022-04-03,6,4,2022,19.4,73.3,0,0,124,191,212
2022-04-04,0,4,2022,22.4,50.5,0,0,203,212,170
2022-04-05,1,4,2022,21.9,66.6,0,0,159,170,217
2022-04-06,2,4,2022,13.3,45.0,0,1,170,217,204
2022-04-07,3,4,2022,27.4,56.0,0,0,156,204,221
2022-04-08,4,4,2022,27.1,69.8,0,0,172,221,262
2022-04-09,5,4,2022,25.0,41.1,0,0,227,262,263
2022-04-10,6,4,2022,23.1,71.6,0,1,204,263,193
2022-04-11,0,4,2022,13.7,64.7,0,0,205,193,181
2022-04-12,1,4,2022,21.6,73.3,0,0,137,181,195
2022-04-13,2,4,2022,22.3,68.4,0,0,145,195,180
2022-04-14,3,4,2022,18.6,85.5,0,0,94,180,220
2022-04-15,4,4,2022,23.7,66.9,0,0,155,220,258
2022-04-16,5,4,2022,28.2,58.6,0,0,208,258,260
2022-04-17,6,4,2022,40.1,66.8,0,0,195,260,197
2022-04-18,0,4,2022,26.4,73.1,0,0,173,197,177
2022-04-19,1,4,2022,27.1,65.7,0,0,179,177,200
2022-04-20,2,4,2022,24.4,65.6,0,0,159,200,218
2022-04-21,3,4,2022,9.6,54.5,0,0,186,218,244
2022-04-22,4,4,2022,24.8,55.1,0,0,202,244,202
2022-04-23,5,4,2022,25.5,44.0,1,0,131,202,244
2022-04-24,6,4,2022,44.7,91.2,0,0,188,244,194
2022-04-25,0,4,2022,23.5,46.3,0,0,207,194,204
2022-04-26,1,4,2022,27.4,54.6,0,0,167,204,232
2022-04-27,2,4,2022,24.7,54.2,0,0,201,232,239
2022-04-28,3,4,2022,15.7,78.4,0,0,264,239,241
2022-04-29,4,4,2022,34.1,60.6,0,0,176,241,242
2022-04-30,5,4,2022,31.0,83.7,1,0,191,242,234
2022-05-01,6,5,2022,31.3,54.9,0,0,157,234,189
2022-05-02,0,5,2022,17.7,69.2,0,0,185,189,224
2022-05-03,1,5,2022,36.2,52.5,0,0,193,224,212
2022-05-04,2,5,2022,13.8,97.2,0,0,185,212,242
2022-05-05,3,5,2022,29.7,47.2,0,0,149,242,224
2022-05-06,4,5,2022,42.5,69.6,0,0,186,224,280
2022-05-07,5,5,2022,17.1,74.5,0,1,223,280,262
2022-05-08,6,5,2022,20.5,71.2,0,1,193,262,193
2022-05-09,0,5,2022,25.8,62.2,0,0,208,193,197
2022-05-10,1,5,2022,21.0,63.1,0,0,172,197,215
2022-05-11,2,5,2022,12.6,65.7,0,0,202,215,265
2022-05-12,3,5,2022,25.5,62.8,0,0,188,265,208
2022-05-13,4,5,2022,16.5,79.5,0,0,151,208,223
2022-05-14,5,5,2022,28.8,98.2,1,0,189,223,231
2022-05-15,6,5,2022,17.6,56.6,0,0,150,231,161
2022-05-16,0,5,2022,37.4,44.5,0,0,161,161,200
2022-05-17,1,5,2022,18.7,63.7,0,0,185,200,213
2022-05-18,2,5,2022,22.4,103.7,0,0,188,213,219
2022-05-19,3,5,2022,31.5,52.9,0,0,144,219,248
2022-05-20,4,5,2022,15.2,89.6,0,0,211,248,234
2022-05-21,5,5,2022,26.8,90.2,0,0,197,234,237
2022-05-22,6,5,2022,35.5,56.7,0,0,158,237,158
2022-05-23,0,5,2022,12.1,73.5,0,0,133,158,209
2022-05-24,1,5,2022,26.5,89.4,0,1,175,209,210
2022-05-25,2,5,2022,27.1,59.3,1,0,166,210,228
2022-05-26,3,5,2022,31.3,61.9,0,1,183,228,235
2022-05-27,4,5,2022,15.1,56.3,0,1,169,235,190
2022-05-28,5,5,2022,14.4,49.8,0,0,119,190,248
2022-05-29,6,5,2022,29.2,55.3,0,0,168,248,219
2022-05-30,0,5,2022,27.4,46.6,0,0,170,219,216
2022-05-31,1,5,2022,27.0,65.5,0,1,199,216,177
2022-06-01,2,6,2022,27.8,53.5,0,0,159,177,236
2022-06-02,3,6,2022,19.6,68.5,0,0,230,236,206
2022-06-03,4,6,2022,26.9,41.7,0,0,122,206,256
2022-06-04,5,6,2022,27.3,70.0,0,0,219,256,232
2022-06-05,6,6,2022,19.3,77.5,1,0,173,232,211
2022-06-06,0,6,2022,39.9,35.1,0,0,205,211,212
2022-06-07,1,6,2022,28.8,70.6,0,0,182,212,237
2022-06-08,2,6,2022,15.5,83.4,0,0,214,237,189
2022-06-09,3,6,2022,30.3,46.9,0,0,168,189,205
2022-06-10,4,6,2022,17.2,90.1,0,0,147,205,259
2022-06-11,5,6,2022,31.3,71.3,0,0,222,259,234
2022-06-12,6,6,2022,34.3,54.4,0,0,176,234,221
2022-06-13,0,6,2022,18.4,64.2,0,0,186,221,213
2022-06-14,1,6,2022,32.7,73.4,0,0,217,213,201
2022-06-15,2,6,2022,28.3,66.1,0,0,149,201,239
2022-06-16,3,6,2022,31.6,73.1,0,0,197,239,220
2022-06-17,4,6,2022,40.2,51.2,0,0,162,220,206
2022-06-18,5,6,2022,23.0,67.5,0,0,176,206,260
2022-06-19,6,6,2022,19.0,43.8,1,1,182,260,190
2022-06-20,0,6,2022,17.9,63.3,0,0,134,190,186
2022-06-21,1,6,2022,18.5,51.4,0,0,156,186,215
2022-06-22,2,6,2022,24.4,54.0,0,0,220,215,246
2022-06-23,3,6,2022,27.7,83.5,0,0,206,246,223
2022-06-24,4,6,2022,27.2,81.4,1,0,178,223,235
2022-06-25,5,6,2022,31.6,74.1,0,0,187,235,243
2022-06-26,6,6,2022,25.1,48.6,0,0,171,243,255
2022-06-27,0,6,2022,36.6,60.3,0,1,220,255,236
2022-06-28,1,6,2022,22.9,83.2,0,0,173,236,238
2022-06-29,2,6,2022,46.8,67.1,0,0,186,238,254
2022-06-30,3,6,2022,30.0,99.8,0,0,214,254,210
2022-07-01,4,7,2022,18.1,70.9,0,0,156,210,237
2022-07-02,5,7,2022,16.4,67.9,0,0,226,237,230
2022-07-03,6,7,2022,28.9,60.4,0,0,134,230,218
2022-07-04,0,7,2022,23.2,67.0,0,0,228,218,188
2022-07-05,1,7,2022,30.7,62.7,1,0,168,188,210
2022-07-06,2,7,2022,28.8,75.6,0,0,172,210,205
2022-07-07,3,7,2022,24.4,79.4,0,0,123,205,227
2022-07-08,4,7,2022,18.2,53.2,0,0,166,227,227
2022-07-09,5,7,2022,12.9,45.0,0,0,148,227,241
2022-07-10,6,7,2022,21.4,37.5,0,0,161,241,192
2022-07-11,0,7,2022,31.9,72.6,1,0,175,192,211
2022-07-12,1,7,2022,26.7,48.4,0,0,208,211,194
2022-07-13,2,7,2022,15.0,32.7,0,0,186,194,253
2022-07-14,3,7,2022,26.4,70.8,0,0,189,253,219
2022-07-15,4,7,2022,28.1,102.4,0,0,147,219,221
2022-07-16,5,7,2022,17.9,64.9,0,0,153,221,254
2022-07-17,6,7,2022,26.2,77.6,0,0,233,254,233
2022-07-18,0,7,2022,25.5,66.2,0,0,157,233,205
2022-07-19,1,7,2022,15.9,63.5,0,0,229,205,206
2022-07-20,2,7,2022,27.9,78.8,0,0,172,206,231
2022-07-21,3,7,2022,29.5,60.6,0,0,180,231,256
2022-07-22,4,7,2022,33.7,69.0,0,0,212,256,272
2022-07-23,5,7,2022,33.4,69.8,0,0,218,272,266
2022-07-24,6,7,2022,14.0,55.0,0,0,176,266,197
2022-07-25,0,7,2022,17.5,79.9,0,0,168,197,192
2022-07-26,1,7,2022,29.1,62.4,0,0,178,192,216
2022-07-27,2,7,2022,29.1,53.7,0,0,190,216,239
2022-07-28,3,7,2022,29.1,73.0,0,0,206,239,276
2022-07-29,4,7,2022,55.8,51.5,0,0,180,276,227
2022-07-30,5,7,2022,29.6,65.4,0,0,198,227,288
2022-07-31,6,7,2022,34.1,64.9,0,0,229,288,211
2022-08-01,0,8,2022,32.6,81.3,0,0,191,211,227
2022-08-02,1,8,2022,30.2,72.1,0,0,189,227,195
2022-08-03,2,8,2022,22.5,64.6,0,0,134,195,183
2022-08-04,3,8,2022,31.1,77.3,0,0,101,183,270
2022-08-05,4,8,2022,18.8,85.9,0,1,191,270,248
2022-08-06,5,8,2022,23.1,73.4,0,0,177,248,254
2022-08-07,6,8,2022,21.1,65.2,0,0,164,254,203
2022-08-08,0,8,2022,25.7,45.3,0,0,187,203,208
2022-08-09,1,8,2022,43.5,49.0,0,0,178,208,199
2022-08-10,2,8,2022,10.1,60.4,0,0,213,199,240
2022-08-11,3,8,2022,30.5,55.9,0,0,182,240,223
2022-08-12,4,8,2022,12.1,62.2,0,0,157,223,236
2022-08-13,5,8,2022,21.2,65.8,0,0,209,236,242
2022-08-14,6,8,2022,33.7,72.9,0,0,173,242,200
2022-08-15,0,8,2022,25.5,63.9,0,0,195,200,176
2022-08-16,1,8,2022,16.4,72.3,0,0,165,176,193
2022-08-17,2,8,2022,19.3,66.0,0,0,160,193,211
2022-08-18,3,8,2022,30.4,35.4,0,0,182,211,223
2022-08-19,4,8,2022,19.2,50.9,0,0,180,223,236
2022-08-20,5,8,2022,26.7,62.8,0,0,194,236,221
2022-08-21,6,8,2022,25.4,46.9,1,0,171,221,206
2022-08-22,0,8,2022,19.8,74.0,0,0,124,206,230
2022-08-23,1,8,2022,42.2,88.0,0,0,167,230,216
2022-08-24,2,8,2022,30.1,83.3,0,0,203,216,216
2022-08-25,3,8,2022,8.8,61.8,0,0,171,216,236
2022-08-26,4,8,2022,26.5,87.4,0,0,172,236,267
2022-08-27,5,8,2022,19.7,67.2,0,0,209,267,231
2022-08-28,6,8,2022,31.8,59.9,0,0,158,231,195
2022-08-29,0,8,2022,18.7,55.8,0,0,133,195,197
2022-08-30,1,8,2022,24.1,60.5,0,0,175,197,192
2022-08-31,2,8,2022,29.0,59.2,0,0,165,192,229
2022-09-01,3,9,2022,31.9,67.6,1,0,151,229,246
2022-09-02,4,9,2022,15.4,67.4,0,0,174,246,285
2022-09-03,5,9,2022,22.3,65.0,0,0,194,285,230
2022-09-04,6,9,2022,21.2,71.6,0,0,179,230,214
2022-09-05,0,9,2022,19.8,82.9,1,0,189,214,233
2022-09-06,1,9,2022,39.1,79.2,0,0,234,233,227
2022-09-07,2,9,2022,28.2,42.7,0,0,169,227,202
2022-09-08,3,9,2022,14.9,26.7,0,0,188,202,213
2022-09-09,4,9,2022,32.3,79.0,0,0,164,213,229
2022-09-10,5,9,2022,42.0,44.5,0,0,154,229,248
2022-09-11,6,9,2022,33.3,61.6,0,0,162,248,206
2022-09-12,0,9,2022,12.8,47.4,0,1,165,206,222
2022-09-13,1,9,2022,21.1,38.0,0,0,190,222,267
2022-09-14,2,9,2022,35.1,73.1,0,0,250,267,224
2022-09-15,3,9,2022,19.3,76.4,0,0,158,224,255
2022-09-16,4,9,2022,28.6,56.4,0,0,167,255,251
2022-09-17,5,9,2022,31.2,26.1,0,0,178,251,233
2022-09-18,6,9,2022,17.6,56.8,0,0,191,233,225
2022-09-19,0,9,2022,24.5,70.9,1,0,187,225,203
2022-09-20,1,9,2022,-0.9,42.8,0,0,218,203,198
2022-09-21,2,9,2022,16.8,67.8,0,0,107,198,220
2022-09-22,3,9,2022,23.0,64.8,0,0,108,220,230
2022-09-23,4,9,2022,15.0,73.7,1,0,165,230,239
2022-09-24,5,9,2022,38.1,66.8,0,0,212,239,237
2022-09-25,6,9,2022,13.6,50.4,0,1,133,237,209
2022-09-26,0,9,2022,21.5,82.9,0,1,89,209,215
2022-09-27,1,9,2022,26.0,62.6,0,0,197,215,228
2022-09-28,2,9,2022,36.5,64.6,0,0,187,228,219
2022-09-29,3,9,2022,13.5,51.0,0,0,147,219,237
2022-09-30,4,9,2022,34.3,58.4,0,0,150,237,237
2022-10-01,5,10,2022,25.1,51.7,1,0,150,237,246
2022-10-02,6,10,2022,17.1,62.4,0,0,183,246,194
2022-10-03,0,10,2022,28.7,90.7,0,0,161,194,232
2022-10-04,1,10,2022,26.6,44.4,0,0,194,232,192
2022-10-05,2,10,2022,20.2,40.8,0,0,94,192,214
2022-10-06,3,10,2022,25.6,87.1,0,0,154,214,237
2022-10-07,4,10,2022,21.9,61.9,0,0,146,237,239
2022-10-08,5,10,2022,25.9,55.0,0,0,172,239,260
2022-10-09,6,10,2022,30.3,80.6,0,1,163,260,209
2022-10-10,0,10,2022,37.7,55.9,1,0,203,209,170
2022-10-11,1,10,2022,15.1,92.4,0,0,124,170,250
2022-10-12,2,10,2022,42.1,75.2,0,1,181,250,270
2022-10-13,3,10,2022,9.4,57.7,1,1,196,270,246
2022-10-14,4,10,2022,23.8,97.4,0,0,235,246,243
2022-10-15,5,10,2022,29.7,55.9,0,0,165,243,247
2022-10-16,6,10,2022,27.2,76.1,0,0,189,247,176
2022-10-17,0,10,2022,20.0,69.5,0,0,125,176,160
2022-10-18,1,10,2022,23.3,84.5,0,0,108,160,225
2022-10-19,2,10,2022,21.1,88.4,0,0,205,225,223
2022-10-20,3,10,2022,20.3,65.5,0,0,179,223,262
2022-10-21,4,10,2022,31.8,53.7,0,0,215,262,232
2022-10-22,5,10,2022,27.9,71.9,0,0,138,232,237
2022-10-23,6,10,2022,19.5,54.8,0,0,195,237,246
2022-10-24,0,10,2022,32.2,95.2,0,0,236,246,221
2022-10-25,1,10,2022,27.5,67.0,1,0,192,221,230
2022-10-26,2,10,2022,31.5,59.5,0,0,188,230,230
2022-10-27,3,10,2022,30.0,67.8,0,0,180,230,206
2022-10-28,4,10,2022,18.4,44.8,0,0,132,206,286
2022-10-29,5,10,2022,20.5,50.4,0,1,220,286,255
2022-10-30,6,10,2022,31.0,83.0,1,0,161,255,186
2022-10-31,0,10,2022,29.9,55.1,0,0,195,186,187
2022-11-01,1,11,2022,24.8,49.3,0,0,133,187,204
2022-11-02,2,11,2022,25.9,73.0,0,0,144,204,256
2022-11-03,3,11,2022,35.2,82.8,0,0,223,256,249
2022-11-04,4,11,2022,20.3,75.8,0,0,169,249,254
2022-11-05,5,11,2022,29.4,79.9,0,0,223,254,245
2022-11-06,6,11,2022,23.4,53.6,0,0,177,245,200
2022-11-07,0,11,2022,23.3,43.7,0,1,124,200,217
2022-11-08,1,11,2022,33.8,87.5,0,0,206,217,213
2022-11-09,2,11,2022,31.6,60.2,0,0,162,213,278
2022-11-10,3,11,2022,31.5,61.2,0,1,200,278,228
2022-11-11,4,11,2022,35.4,84.9,0,0,180,228,234
2022-11-12,5,11,2022,25.2,73.3,0,0,133,234,233
2022-11-13,6,11,2022,30.5,71.8,0,0,184,233,223
2022-11-14,0,11,2022,22.5,97.5,0,0,245,223,216
2022-11-15,1,11,2022,27.6,55.3,0,0,194,216,246
2022-11-16,2,11,2022,24.0,78.9,0,0,178,246,239
2022-11-17,3,11,2022,25.8,65.9,0,0,212,239,210
2022-11-18,4,11,2022,29.8,69.0,0,0,186,210,215
2022-11-19,5,11,2022,18.5,87.9,0,0,186,215,250
2022-11-20,6,11,2022,41.7,72.6,0,0,147,250,214
2022-11-21,0,11,2022,17.0,73.1,0,0,187,214,252
2022-11-22,1,11,2022,15.3,81.1,0,1,211,252,219
2022-11-23,2,11,2022,34.3,59.5,0,0,154,219,268
2022-11-24,3,11,2022,31.3,52.4,0,0,222,268,231
2022-11-25,4,11,2022,30.0,49.3,0,0,177,231,251
2022-11-26,5,11,2022,30.0,35.5,0,0,153,251,241
2022-11-27,6,11,2022,24.9,95.8,0,0,209,241,185
2022-11-28,0,11,2022,17.8,48.5,0,0,171,185,221
2022-11-29,1,11,2022,25.6,61.7,0,1,202,221,237
2022-11-30,2,11,2022,19.6,60.8,0,1,171,237,234
2022-12-01,3,12,2022,32.8,69.6,1,0,178,234,272
2022-12-02,4,12,2022,23.8,77.2,0,1,194,272,249
2022-12-03,5,12,2022,18.4,77.9,0,0,188,249,217
2022-12-04,6,12,2022,22.4,56.3,0,0,120,217,193
2022-12-05,0,12,2022,28.3,62.5,1,0,146,193,202
2022-12-06,1,12,2022,20.5,69.2,0,0,207,202,265
2022-12-07,2,12,2022,18.4,61.3,0,1,176,265,222
2022-12-08,3,12,2022,26.9,89.1,0,0,164,222,217
2022-12-09,4,12,2022,27.0,72.4,0,0,139,217,282
2022-12-10,5,12,2022,20.9,76.0,0,1,147,282,211
2022-12-11,6,12,2022,21.2,74.9,0,0,119,211,191
2022-12-12,0,12,2022,26.9,82.6,0,0,176,191,187
2022-12-13,1,12,2022,13.4,67.7,0,0,162,187,231
2022-12-14,2,12,2022,13.7,45.5,0,1,151,231,260
2022-12-15,3,12,2022,19.3,71.0,0,1,177,260,255
2022-12-16,4,12,2022,23.3,55.2,0,0,190,255,313
2022-12-17,5,12,2022,27.5,57.1,0,0,242,313,210
2022-12-18,6,12,2022,36.8,73.8,0,0,134,210,259
2022-12-19,0,12,2022,31.9,83.6,0,1,214,259,219
2022-12-20,1,12,2022,23.7,65.3,0,0,209,219,206
2022-12-21,2,12,2022,24.8,69.6,0,0,156,206,246
2022-12-22,3,12,2022,17.0,90.5,0,1,186,246,221
2022-12-23,4,12,2022,24.9,68.6,0,0,166,221,274
2022-12-24,5,12,2022,22.7,104.0,0,0,185,274,288
2022-12-25,6,12,2022,27.6,73.5,0,0,225,288,237
2022-12-26,0,12,2022,18.4,38.6,0,1,198,237,244
2022-12-27,1,12,2022,29.2,76.3,0,0,195,244,202
2022-12-28,2,12,2022,37.3,70.7,0,0,167,202,194
2022-12-29,3,12,2022,24.1,84.3,1,0,135,194,206
2022-12-30,4,12,2022,28.2,75.1,0,0,173,206,255
2022-12-31,5,12,2022,30.5,62.9,0,0,216,255,216
2023-01-01,6,1,2023,21.8,46.6,0,0,134,216,201
2023-01-02,0,1,2023,26.8,61.9,0,1,148,201,198
2023-01-03,1,1,2023,25.1,52.2,0,0,183,198,169
2023-01-04,2,1,2023,25.8,56.3,0,0,150,169,209
2023-01-05,3,1,2023,18.8,73.8,0,0,156,209,217
2023-01-06,4,1,2023,25.2,90.0,0,0,167,217,248
2023-01-07,5,1,2023,29.0,70.9,0,1,139,248,200
2023-01-08,6,1,2023,36.6,47.1,0,0,150,200,203
2023-01-09,0,1,2023,32.7,71.7,0,0,201,203,169
2023-01-10,1,1,2023,42.2,82.9,0,0,140,169,174
2023-01-11,2,1,2023,18.9,55.9,0,0,132,174,214
2023-01-12,3,1,2023,32.0,63.0,0,0,161,214,229
2023-01-13,4,1,2023,26.5,65.2,0,0,201,229,245
2023-01-14,5,1,2023,42.5,53.2,0,1,174,245,250
2023-01-15,6,1,2023,18.5,74.7,0,1,166,250,160
2023-01-16,0,1,2023,18.3,63.2,0,0,181,160,213
2023-01-17,1,1,2023,20.2,71.3,0,1,127,213,196
2023-01-18,2,1,2023,8.0,51.7,0,0,194,196,229
2023-01-19,3,1,2023,20.8,58.4,0,0,191,229,202
2023-01-20,4,1,2023,18.9,75.8,0,0,167,202,231
2023-01-21,5,1,2023,26.2,59.4,0,0,210,231,210
2023-01-22,6,1,2023,27.7,90.9,0,0,146,210,220
2023-01-23,0,1,2023,40.0,59.0,0,0,213,220,189
2023-01-24,1,1,2023,32.6,68.4,0,0,184,189,205
2023-01-25,2,1,2023,20.4,79.0,0,0,169,205,200
2023-01-26,3,1,2023,17.8,43.7,0,0,179,200,214
2023-01-27,4,1,2023,28.9,38.6,0,1,176,214,227
2023-01-28,5,1,2023,14.4,42.1,0,0,216,227,211
2023-01-29,6,1,2023,39.7,83.9,0,0,147,211,182
2023-01-30,0,1,2023,34.4,56.7,0,0,157,182,187
2023-01-31,1,1,2023,21.2,103.4,0,0,211,187,229
2023-02-01,2,2,2023,11.3,56.5,0,1,162,229,227
2023-02-02,3,2,2023,35.8,67.8,0,0,207,227,237
2023-02-03,4,2,2023,24.1,88.1,1,0,230,237,263
2023-02-04,5,2,2023,34.9,95.1,0,1,167,263,252
2023-02-05,6,2,2023,12.2,95.9,0,0,200,252,171
2023-02-06,0,2,2023,20.2,83.1,0,0,145,171,194
2023-02-07,1,2,2023,25.0,80.4,1,0,202,194,205
2023-02-08,2,2,2023,25.4,73.9,0,1,185,205,206
2023-02-09,3,2,2023,21.4,76.7,0,0,194,206,205
2023-02-10,4,2,2023,30.0,56.7,0,0,160,205,205
2023-02-11,5,2,2023,16.5,52.7,0,0,130,205,236
2023-02-12,6,2,2023,23.9,64.9,0,0,195,236,174
2023-02-13,0,2,2023,26.0,62.4,0,0,118,174,185
2023-02-14,1,2,2023,29.1,58.2,0,0,170,185,217
2023-02-15,2,2,2023,30.7,75.4,0,0,208,217,253
2023-02-16,3,2,2023,16.0,79.3,0,1,185,253,267
2023-02-17,4,2,2023,12.7,66.3,0,1,238,267,245
2023-02-18,5,2,2023,35.2,87.2,0,0,210,245,245
2023-02-19,6,2,2023,27.7,47.9,0,1,160,245,176
2023-02-20,0,2,2023,19.0,62.1,0,0,180,176,189
2023-02-21,1,2,2023,37.4,54.2,0,0,178,189,177
2023-02-22,2,2,2023,25.9,37.0,0,0,132,177,242
2023-02-23,3,2,2023,34.4,63.8,0,1,151,242,235
2023-02-24,4,2,2023,25.5,63.2,0,1,163,235,192
2023-02-25,5,2,2023,41.5,87.7,0,0,118,192,295
2023-02-26,6,2,2023,39.0,74.5,0,1,181,295,189
2023-02-27,0,2,2023,23.0,49.6,0,0,172,189,184
2023-02-28,1,2,2023,32.8,92.8,0,1,129,184,232
2023-03-01,2,3,2023,30.2,83.3,0,1,192,232,230
2023-03-02,3,3,2023,35.9,73.7,0,0,201,230,246
2023-03-03,4,3,2023,17.3,61.6,0,0,186,246,212
2023-03-04,5,3,2023,30.5,50.6,0,0,170,212,264
2023-03-05,6,3,2023,33.5,59.4,0,0,197,264,212
2023-03-06,0,3,2023,10.9,81.3,0,0,200,212,188
2023-03-07,1,3,2023,15.5,93.3,0,0,189,188,209
2023-03-08,2,3,2023,8.7,88.1,0,1,155,209,201
2023-03-09,3,3,2023,22.8,57.7,0,0,188,201,236
